Program,ParentProject,Project,StationName,StationCode,SampleDate,CollectionTime,LocationCode,CollectionDepth,UnitCollectionDepth,SampleTypeCode,CollectionReplicate,ResultsReplicate,LabBatch,LabSampleID,MatrixName,MethodName,Analyte,Unit,Result,Observation,MDL,RL,ResultQualCode,QACode,BatchVerification,ComplianceCode,SampleComments,CollectionComments,ResultsComments,BatchComments,EventCode,ProtocolCode,SampleAgency,GroupSamples,CollectionMethodName,TargetLatitude,TargetLongitude,CollectionDeviceDescription,CalibrationDate,PositionWaterColumn,PrepPreservationName,PrepPreservationDate,DigestExtractMethod,DigestExtractDate,AnalysisDate,DilutionFactor,ExpectedValue,LabAgency,SubmittingAgency,SubmissionCode,OccupationMethod,StartingBank,DistanceFromBank,UnitDistanceFromBank,StreamWidth,UnitStreamWidth,StationWaterDepth,UnitStationWaterDepth,HydroMod,HydroModLoc,LocationDetailWQComments,ChannelWidth,UpstreamLength,DownStreamLength,TotalReach,LocationDetailBAComments,SampleID,DW_AnalyteName,Datum,DataQuality,DataQualityIndicator,ResultDisplay,DisplayText,Censored,AnalyteDisplay,AnalyteGroup1,AnalyteGroup2,AnalyteGroup3,MatrixDisplay,Region
Surface Water Ambient Monitoring Program,SWAMP RWB1 Monitoring,RWB1 Development Trend Montoring FYs 2001 2002,Smith River South Fork above Hiouchi,103SF0039,2/25/2002 0:00,1899-12-30 09:00:00,Midchannel,0.1,m,Grab,1,1,AMS31102-2,10629,samplewater,EPA 415.1,"Total Organic Carbon, Total",mg/L,9.6,,1,1,=,,VAC,Com,,,,all sample were acidified within 9 days of collection,WQ,MPSL-DFW_Field_v1.0,RWQCB1,,Water_Grab,41.7968,-124.05536,Individual Collection by hand,,subsurface,LabAcidified,2/27/2002 0:00,,1/1/1950 0:00,3/11/2002 0:00,1,,AMS,AMS,A,Walk In,RB,-88,m,24,m,1,m,NR,,,,,,,,,Total Organic Carbon,WGS84,Passed,,9.6,,,"Total Organic Carbon, Total",Inorganic,Conventional,,samplewater,1
Surface Water Ambient Monitoring Program,SWAMP RWB1 Monitoring,RWB1 Development Trend Montoring FYs 2001 2002,Ten Mile River above South Fork Ten Mile River,113TE6637,6/28/2001 0:00,1899-12-30 00:00:00,Not Recorded,0.1,m,Grab,1,1,1070368,P106585-05,samplewater,EPA 415.1,"Total Organic Carbon, Total",mg/L,1.1,,1,1,=,,VAC,Hist,,,,,WQ,SWAMP_Historical,RWQCB1,,Water_Grab,39.55253,-123.72066,Not Recorded,,,Not Recorded,7/16/2001 0:00,,1/1/1950 0:00,7/16/2001 0:00,1,,SAL,RWQCB1,QN,,,,,,,,,,,,,,,,,,Total Organic Carbon,WGS84,Passed,,1.1,,,"Total Organic Carbon, Total",Inorganic,Conventional,,samplewater,1
Surface Water Ambient Monitoring Program,SWAMP RWB1 Monitoring,RWB1 Development Trend Montoring FYs 2001 2002,Van Duzen River at Bridgeville,111VD4108,4/24/2002 0:00,1899-12-30 14:48:00,Not Recorded,0.1,m,Grab,1,1,AMS51102-4,11559,samplewater,EPA 415.1,"Total Organic Carbon, Total",mg/L,1.4,,1,1,=,,VAC,Com,,,,,WQ,MPSL-DFW_Field_v1.0,RWQCB1,,Water_Grab,40.46898,-123.79882,Individual Collection by hand,,subsurface,LabAcidified,4/26/2002 0:00,,1/1/1950 0:00,5/11/2002 0:00,1,,AMS,AMS,A,Walk In,NR,-88,m,12,m,0.2,m,NR,,,,,,,,,Total Organic Carbon,WGS84,Passed,,1.4,,,"Total Organic Carbon, Total",Inorganic,Conventional,,samplewater,1
Surface Water Ambient Monitoring Program,SWAMP RWB1 Monitoring,RWB1 Development Trend Montoring FYs 2001 2002,Van Duzen River downstream of Yager Creek,111VD0160,6/13/2002 0:00,1899-12-30 08:35:00,Not Recorded,0.1,m,Grab,1,1,AMS62202-2,11762,samplewater,EPA 415.1,"Total Organic Carbon, Total",mg/L,2.2,,1,1,=,,VAC,Com,,,,,WQ,MPSL-DFW_Field_v1.0,RWQCB1,,Water_Grab,40.5371,-124.14708,Individual Collection by hand,,subsurface,LabAcidified,6/17/2002 0:00,,1/1/1950 0:00,6/22/2002 0:00,1,,AMS,AMS,A,Walk In,LB,-88,m,18,m,0.2,m,NR,,,,,,,,,Total Organic Carbon,WGS84,Passed,,2.2,,,"Total Organic Carbon, Total",Inorganic,Conventional,,samplewater,1
Surface Water Ambient Monitoring Program,SWAMP RWB1 Monitoring,RWB1 Eel River Trend Monitoring  FYs 2009 2010,Eel River - M Fork at Dos Rios,111MF0034,7/19/2010 0:00,1899-12-30 13:30:00,Thalweg,0.1,m,Grab,1,1,WPCL_6580_W_TOC,L-406-10-75,samplewater,EPA 415.1M,"Total Organic Carbon, Total",mg/L,0.95,,0.5,1,DNQ,,VAC,Com,,reported from lab as bank but field crew collected at thalweg,,,WQ,MPSL-DFW_Field_v1.0,MPSL-DFW,,Water_Grab,39.71214,-123.3497,Individual Collection by hand,,Subsurface,FieldAcidified,7/19/2010 0:00,,1/1/1950 0:00,8/12/2010 0:00,1,,DFW-WPCL,DFW-WPCL,A,Walk In,LB,6,m,22,m,0.4,m,Bridge,US,,,,,,,,Total Organic Carbon,WGS84,Some review needed,ResultQualCode:DNQ,0.95,DNQ result displayed as the reported value,,"Total Organic Carbon, Total",Inorganic,Conventional,,samplewater,1
Surface Water Ambient Monitoring Program,SWAMP RWB1 Irrigated Lands Monitoring,RWB1 Irrigated Lands Monitoring 2015,Rowdy Creek at Alexander Access,103RW0319,3/11/2015 0:00,1899-12-30 16:30:00,Midchannel,0.1,m,Grab,1,1,WPCL_13096_W_TOC,L-116-15-40,samplewater,EPA 415.1M,"Total Organic Carbon, Total",mg/L,,,0.5,1,ND,,VAC,Com,,possible low bias; RL/MDL raised due to standard performance,,,WQ,MPSL-DFW_Field_v1.1,RWQCB1,,Water_Grab,41.91466,-124.16284,Individual Collection by hand,,Subsurface,FieldAcidified,3/11/2015 0:00,,1/1/1950 0:00,4/2/2015 0:00,1,,DFW-WPCL,DFW-WPCL,A,Walk In,RB,7,m,12,m,0.5,m,,,,,,,,,,Total Organic Carbon,WGS84,Passed,,0.25,ND result displayed as 1/2 the MDL,TRUE,"Total Organic Carbon, Total",Inorganic,Conventional,,samplewater,1
Surface Water Ambient Monitoring Program,SWAMP Reference Condition Management Plan,Statewide Ref Condition Management Plan 2011,Wooley Creek ~0.5mi above Bridge Cr.,105WLCABC,8/3/2011 0:00,1899-12-30 09:00:00,X,0.1,m,Grab,1,1,WPCL_8077_W_TOC,L-422-11-17,samplewater,EPA 415.1M,"Total Organic Carbon, Total",mg/L,1.63,,0.5,1,=,,VAC,Com,,CollTime reported as 11:00 for Metals,,,BA,SWAMP_2007_WS,DFW-ABL,,Water_Grab,41.442112,-123.3489665,Individual Collection by hand,,Subsurface,FieldAcidified,8/4/2011 0:00,,1/1/1950 0:00,8/10/2011 0:00,1,,DFW-WPCL,DFW-WPCL,A,,,,,,,,,,,,,,,,,,Total Organic Carbon,NAD83,Passed,,1.63,,,"Total Organic Carbon, Total",Inorganic,Conventional,,samplewater,1
Surface Water Ambient Monitoring Program,SWAMP RWB1 Monitoring,RWB1 Irrigated Lands Monitoring 2013,Russian River at School Way,114RRxxxx,11/7/2013 0:00,1899-12-30 12:30:00,Midchannel,0.1,m,Grab,1,1,CLS_11457_W_TOC,L-613-13-12,samplewater,EPA 415.1M,"Total Organic Carbon, Total",mg/L,1.3,,0.54,1,=,H,"VAC,VQI",Qual,,,,QAO: no dup,WQ,MPSL-DFW_Field_v1.0,RWQCB1,,Water_Grab,39.26516,-123.20853,Individual Collection by hand,,Subsurface,FieldAcidified,11/7/2013 0:00,,1/1/1950 0:00,12/10/2013 0:00,1,,CLS,DFW-WPCL,A,Walk In,RB,2,m,4,m,0.5,m,Bridge,WI,,,,,,,,Total Organic Carbon,WGS84,Extensive review needed,"BatchVerification:VAC,VQI",1.3,,,"Total Organic Carbon, Total",Inorganic,Conventional,,samplewater,1
Surface Water Ambient Monitoring Program,SWAMP RWB1 Monitoring,RWB1 Klamath Trinity Trend Montoring FYs 2002 2003,Eel River - North Fork near Mina,111NF1843,4/21/2003 0:00,1899-12-30 13:10:00,Bank,0.1,m,Grab,1,1,043003-01,18371,samplewater,EPA 415.1,"Total Organic Carbon, Total",mg/L,1.2,,0.1,0.1,=,,VAC,Com,,,,,WQ,MPSL-DFW_Field_v1.0,RWQCB1,,Water_Grab,39.93807,-123.35007,Individual Collection by hand,,subsurface,LabAcidified,4/23/2003 0:00,,1/1/1950 0:00,4/30/2003 0:00,1,,AMS,AMS,A,WalkIn,LB,-88,m,23,m,0.7,m,NR,,,,,,,,,Total Organic Carbon,WGS84,Passed,,1.2,,,"Total Organic Carbon, Total",Inorganic,Conventional,,samplewater,1
Surface Water Ambient Monitoring Program,SWAMP RWB1 Monitoring,RWB1 Klamath Trinity Trend Montoring FYs 2002 2003,Eel River - South Fork downstream of Bull Creek,111SF0119,11/18/2002 0:00,1899-12-30 15:05:00,Midchannel,0.1,m,Grab,1,1,112902-03,12836,samplewater,EPA 415.1,"Total Organic Carbon, Total",mg/L,1.6,,0.1,0.1,=,,VAC,Com,,,,,WQ,MPSL-DFW_Field_v1.0,RWQCB1,,Water_Grab,40.34568,-123.93267,Individual Collection by hand,,subsurface,LabAcidified,11/26/2002 0:00,,1/1/1950 0:00,11/29/2002 0:00,1,,AMS,AMS,A,Walk In,LB,-88,m,20,m,0.67,m,NR,,,,,,,,,Total Organic Carbon,WGS84,Passed,,1.6,,,"Total Organic Carbon, Total",Inorganic,Conventional,,samplewater,1
